date,state,positive
3/16/2020,philippines,142
3/17/2020,philippines,187
3/18/2020,philippines,202
3/19/2020,philippines,217
3/20/2020,philippines,230
3/21/2020,philippines,307
3/22/2020,philippines,380
3/23/2020,philippines,462
3/24/2020,philippines,552
3/25/2020,philippines,636
3/26/2020,philippines,707
3/27/2020,philippines,803
3/28/2020,philippines,1075
3/29/2020,philippines,1418
3/30/2020,philippines,1546
3/31/2020,philippines,2084
4/1/2020,philippines,2311
4/2/2020,philippines,2633
4/3/2020,philippines,3018
4/4/2020,philippines,3094
4/5/2020,philippines,3246
4/6/2020,philippines,3660
4/7/2020,philippines,3764
4/8/2020,philippines,3870
4/9/2020,philippines,4076
4/10/2020,philippines,4195
4/11/2020,philippines,4428
4/12/2020,philippines,4648
4/13/2020,philippines,4932
4/14/2020,philippines,5223
4/15/2020,philippines,5453
4/16/2020,philippines,5660
4/17/2020,philippines,5878
1/23/2020,singapore,1
1/24/2020,singapore,3
1/25/2020,singapore,3
1/26/2020,singapore,4
1/27/2020,singapore,5
1/28/2020,singapore,7
1/29/2020,singapore,10
1/30/2020,singapore,13
1/31/2020,singapore,16
2/1/2020,singapore,18
2/4/2020,singapore,24
2/5/2020,singapore,28
2/6/2020,singapore,30
2/7/2020,singapore,33
2/8/2020,singapore,40
2/9/2020,singapore,43
2/10/2020,singapore,45
2/11/2020,singapore,47
2/12/2020,singapore,50
2/13/2020,singapore,58
2/14/2020,singapore,67
2/15/2020,singapore,72
2/16/2020,singapore,75
2/17/2020,singapore,77
2/18/2020,singapore,81
2/19/2020,singapore,84
2/20/2020,singapore,85
2/21/2020,singapore,86
2/22/2020,singapore,89
2/23/2020,singapore,89
2/24/2020,singapore,90
2/25/2020,singapore,91
2/26/2020,singapore,93
2/27/2020,singapore,96
2/28/2020,singapore,98
2/29/2020,singapore,102
3/1/2020,singapore,106
3/2/2020,singapore,108
3/3/2020,singapore,110
3/4/2020,singapore,112
3/5/2020,singapore,117
3/6/2020,singapore,130
3/7/2020,singapore,138
3/8/2020,singapore,150
3/9/2020,singapore,160
3/10/2020,singapore,166
3/11/2020,singapore,178
3/12/2020,singapore,187
3/13/2020,singapore,200
3/14/2020,singapore,212
3/15/2020,singapore,226
3/16/2020,singapore,243
3/17/2020,singapore,266
3/18/2020,singapore,313
3/19/2020,singapore,345
3/20/2020,singapore,385
3/21/2020,singapore,432
3/22/2020,singapore,455
3/23/2020,singapore,509
3/24/2020,singapore,558
3/6/2020,slovakia,1
3/7/2020,slovakia,2
3/8/2020,slovakia,2
3/9/2020,slovakia,2
3/11/2020,slovakia,3
3/12/2020,slovakia,11
3/13/2020,slovakia,11
3/14/2020,slovakia,12
3/15/2020,slovakia,17
3/16/2020,slovakia,11
3/17/2020,slovakia,25
3/18/2020,slovakia,8
3/19/2020,slovakia,18
3/20/2020,slovakia,14
3/21/2020,slovakia,41
3/22/2020,slovakia,7
3/23/2020,slovakia,19
1/20/2020,south_korea,1
1/24/2020,south_korea,1
1/26/2020,south_korea,1
1/27/2020,south_korea,1
1/30/2020,south_korea,3
1/31/2020,south_korea,4
2/1/2020,south_korea,1
2/2/2020,south_korea,31
2/4/2020,south_korea,1
2/5/2020,south_korea,2
2/6/2020,south_korea,5
2/7/2020,south_korea,11
2/9/2020,south_korea,3
2/11/2020,south_korea,1
2/16/2020,south_korea,1
2/17/2020,south_korea,1
2/18/2020,south_korea,1
2/19/2020,south_korea,20
2/20/2020,south_korea,53
2/21/2020,south_korea,100
2/22/2020,south_korea,229
2/23/2020,south_korea,169
2/24/2020,south_korea,231
2/25/2020,south_korea,144
2/26/2020,south_korea,284
2/27/2020,south_korea,505
2/28/2020,south_korea,571
2/29/2020,south_korea,813
3/1/2020,south_korea,1062
3/2/2020,south_korea,600
3/3/2020,south_korea,516
3/4/2020,south_korea,438
3/5/2020,south_korea,518
3/6/2020,south_korea,483
3/7/2020,south_korea,367
3/8/2020,south_korea,248
3/9/2020,south_korea,131
3/10/2020,south_korea,242
3/11/2020,south_korea,114
3/12/2020,south_korea,110
3/13/2020,south_korea,107
3/14/2020,south_korea,76
3/15/2020,south_korea,74
3/16/2020,south_korea,84
3/17/2020,south_korea,93
3/18/2020,south_korea,152
3/19/2020,south_korea,87
3/20/2020,south_korea,147
3/21/2020,south_korea,98
3/22/2020,south_korea,64
3/23/2020,south_korea,76
3/24/2020,south_korea,100
1/31/2020,spain,1
2/9/2020,spain,1
2/24/2020,spain,4
2/25/2020,spain,4
2/27/2020,spain,6
2/28/2020,spain,16
2/29/2020,spain,82
3/1/2020,spain,82
3/2/2020,spain,82
3/3/2020,spain,36
3/4/2020,spain,48
3/5/2020,spain,39
3/6/2020,spain,128
3/7/2020,spain,634
3/8/2020,spain,634
3/9/2020,spain,634
3/10/2020,spain,623
3/11/2020,spain,506
3/12/2020,spain,822
3/13/2020,spain,1259
3/14/2020,spain,1544
3/15/2020,spain,2000
3/16/2020,spain,1987
3/16/2020,spain,1438
3/17/2020,spain,2538
3/18/2020,spain,3431
3/19/2020,spain,2833
3/20/2020,spain,4946
3/21/2020,spain,3646
3/22/2020,spain,4517
3/23/2020,spain,6584
3/24/2020,spain,7937
3/25/2020,spain,8578
3/26/2020,spain,7871
3/27/2020,spain,8189
3/28/2020,spain,6549
3/29/2020,spain,6398
3/30/2020,spain,9222
3/31/2020,spain,7719
4/1/2020,spain,8102
4/2/2020,spain,7472
4/3/2020,spain,7026
4/4/2020,spain,6023
4/5/2020,spain,4273
4/6/2020,spain,5478
4/7/2020,spain,6180
4/8/2020,spain,5756
4/9/2020,spain,4576
4/10/2020,spain,4830
4/11/2020,spain,4167
4/12/2020,spain,3477
4/13/2020,spain,3045
4/14/2020,spain,5092
4/15/2020,spain,5183
4/16/2020,spain,5252
2/4/2020,sweden,1
2/26/2020,sweden,1
2/27/2020,sweden,1
2/28/2020,sweden,8
2/29/2020,sweden,3
3/1/2020,sweden,0
3/2/2020,sweden,5
3/3/2020,sweden,13
3/4/2020,sweden,30
3/5/2020,sweden,25
3/6/2020,sweden,59
3/7/2020,sweden,33
3/8/2020,sweden,46
3/9/2020,sweden,101
3/10/2020,sweden,98
3/11/2020,sweden,196
3/12/2020,sweden,151
3/13/2020,sweden,152
3/14/2020,sweden,71
3/15/2020,sweden,69
3/16/2020,sweden,83
3/17/2020,sweden,119
3/18/2020,sweden,145
3/19/2020,sweden,143
3/20/2020,sweden,180
3/21/2020,sweden,134
3/22/2020,sweden,117
3/23/2020,sweden,182
3/24/2020,sweden,230
3/25/2020,sweden,314
3/26/2020,sweden,286
3/27/2020,sweden,366
3/28/2020,sweden,300
3/29/2020,sweden,281
3/30/2020,sweden,415
3/31/2020,sweden,475
4/1/2020,sweden,486
4/2/2020,sweden,555
4/3/2020,sweden,602
4/4/2020,sweden,357
4/5/2020,sweden,341
4/6/2020,sweden,390
4/7/2020,sweden,738
4/8/2020,sweden,656
4/9/2020,sweden,644
4/10/2020,sweden,455
4/11/2020,sweden,394
4/12/2020,sweden,463
4/13/2020,sweden,437
4/14/2020,sweden,480
4/15/2020,sweden,604
4/16/2020,sweden,623
4/17/2020,sweden,688
4/18/2020,sweden,531
4/19/2020,sweden,389
4/20/2020,sweden,462
4/21/2020,sweden,194
1/13/2020,thailand,1
1/17/2020,thailand,2
1/22/2020,thailand,4
1/23/2020,thailand,4
1/24/2020,thailand,5
1/25/2020,thailand,6
1/26/2020,thailand,8
1/27/2020,thailand,8
1/28/2020,thailand,14
1/29/2020,thailand,14
1/30/2020,thailand,14
1/31/2020,thailand,19
2/1/2020,thailand,19
2/2/2020,thailand,19
2/3/2020,thailand,19
2/4/2020,thailand,19
2/5/2020,thailand,25
2/9/2020,thailand,32
2/10/2020,thailand,32
2/11/2020,thailand,33
2/12/2020,thailand,33
2/13/2020,thailand,33
2/16/2020,thailand,34
2/17/2020,thailand,35
2/20/2020,thailand,35
2/21/2020,thailand,35
2/22/2020,thailand,35
2/23/2020,thailand,35
2/24/2020,thailand,35
2/25/2020,thailand,37
2/26/2020,thailand,40
2/27/2020,thailand,40
2/28/2020,thailand,40
2/29/2020,thailand,40
3/1/2020,thailand,42
3/2/2020,thailand,43
3/5/2020,thailand,47
3/6/2020,thailand,48
3/7/2020,thailand,50
3/8/2020,thailand,50
3/9/2020,thailand,50
3/10/2020,thailand,53
3/11/2020,thailand,59
3/12/2020,thailand,70
3/13/2020,thailand,75
3/14/2020,thailand,82
3/15/2020,thailand,114
3/16/2020,thailand,147
3/17/2020,thailand,177
3/18/2020,thailand,212
3/19/2020,thailand,272
3/20/2020,thailand,322
3/21/2020,thailand,411
3/22/2020,thailand,599
3/23/2020,thailand,721
3/24/2020,thailand,827
3/25/2020,thailand,934
1/31/2020,uk,2
2/1/2020,uk,0
2/2/2020,uk,0
2/3/2020,uk,0
2/4/2020,uk,0
2/5/2020,uk,0
2/6/2020,uk,1
2/7/2020,uk,0
2/8/2020,uk,0
2/9/2020,uk,0
2/10/2020,uk,4
2/11/2020,uk,0
2/12/2020,uk,1
2/13/2020,uk,0
2/14/2020,uk,0
2/15/2020,uk,0
2/16/2020,uk,0
2/17/2020,uk,0
2/18/2020,uk,0
2/19/2020,uk,0
2/20/2020,uk,0
2/21/2020,uk,0
2/22/2020,uk,0
2/23/2020,uk,4
2/24/2020,uk,0
2/25/2020,uk,0
2/26/2020,uk,0
2/27/2020,uk,3
2/28/2020,uk,5
2/29/2020,uk,3
3/1/2020,uk,12
3/2/2020,uk,4
3/3/2020,uk,12
3/4/2020,uk,36
3/5/2020,uk,29
3/6/2020,uk,48
3/7/2020,uk,45
3/8/2020,uk,69
3/9/2020,uk,43
3/10/2020,uk,61
3/11/2020,uk,78
3/12/2020,uk,136
3/13/2020,uk,202
3/14/2020,uk,342
3/15/2020,uk,251
3/16/2020,uk,152
3/17/2020,uk,407
3/18/2020,uk,676
3/19/2020,uk,643
3/20/2020,uk,714
3/21/2020,uk,1035
3/22/2020,uk,665
3/23/2020,uk,967
3/24/2020,uk,1427
3/25/2020,uk,1452
3/26/2020,uk,2129
3/27/2020,uk,2890
3/28/2020,uk,2556
3/29/2020,uk,2502
3/30/2020,uk,2665
3/31/2020,uk,3250
4/1/2020,uk,4567
4/2/2020,uk,4522
4/3/2020,uk,4672
4/4/2020,uk,4000
4/5/2020,uk,6199
4/6/2020,uk,4143
4/7/2020,uk,3888
4/8/2020,uk,5866
4/9/2020,uk,4675
4/10/2020,uk,5706
4/11/2020,uk,5234
4/12/2020,uk,5288
4/13/2020,uk,4342
4/14/2020,uk,5252
4/15/2020,uk,4605
4/16/2020,uk,4618
1/21/2020,usa,1
1/24/2020,usa,1
1/25/2020,usa,1
1/26/2020,usa,2
1/30/2020,usa,1
1/31/2020,usa,1
2/1/2020,usa,1
2/2/2020,usa,3
2/5/2020,usa,1
2/15/2020,usa,0
2/20/2020,usa,2
2/25/2020,usa,0
2/26/2020,usa,1
2/27/2020,usa,0
2/28/2020,usa,4
2/29/2020,usa,5
3/1/2020,usa,18
3/2/2020,usa,15
3/3/2020,usa,28
3/4/2020,usa,26
3/5/2020,usa,64
3/6/2020,usa,77
3/7/2020,usa,101
3/8/2020,usa,144
3/9/2020,usa,148
3/10/2020,usa,291
3/11/2020,usa,269
3/12/2020,usa,393
3/13/2020,usa,565
3/14/2020,usa,662
3/15/2020,usa,676
3/16/2020,usa,872
3/17/2020,usa,1291
3/18/2020,usa,2410
3/19/2020,usa,3948
3/20/2020,usa,5417
3/21/2020,usa,6271
3/22/2020,usa,8631
3/23/2020,usa,10410
3/24/2020,usa,9939
3/25/2020,usa,12226
3/26/2020,usa,17050
3/27/2020,usa,19046
3/28/2020,usa,20093
3/29/2020,usa,19118
3/30/2020,usa,20463
3/31/2020,usa,25305
4/1/2020,usa,26756
4/2/2020,usa,28879
4/3/2020,usa,32525
4/4/2020,usa,33725
4/5/2020,usa,25717
4/6/2020,usa,29359
4/7/2020,usa,30512
4/8/2020,usa,32282
4/9/2020,usa,34243
4/10/2020,usa,33578
4/11/2020,usa,31869
4/12/2020,usa,28057
4/13/2020,usa,24685
4/14/2020,usa,25987
4/15/2020,usa,29465
4/16/2020,usa,32076
4/17/2020,usa,30915
4/18/2020,usa,28084
4/19/2020,usa,26013
4/20/2020,usa,25093
4/21/2020,usa,25311
1/23/2020,vietnam,2
1/28/2020,vietnam,2
1/31/2020,vietnam,5
2/1/2020,vietnam,6
2/2/2020,vietnam,7
2/3/2020,vietnam,8
2/4/2020,vietnam,10
2/5/2020,vietnam,10
2/6/2020,vietnam,12
2/7/2020,vietnam,13
2/8/2020,vietnam,13
2/9/2020,vietnam,14
2/10/2020,vietnam,14
2/11/2020,vietnam,15
2/12/2020,vietnam,15
2/13/2020,vietnam,16
2/18/2020,vietnam,16
2/19/2020,vietnam,16
2/20/2020,vietnam,16
2/26/2020,vietnam,16
3/6/2020,vietnam,17
3/7/2020,vietnam,20
3/8/2020,vietnam,30
3/9/2020,vietnam,31
3/10/2020,vietnam,34
3/11/2020,vietnam,38
3/12/2020,vietnam,44
3/13/2020,vietnam,47
3/14/2020,vietnam,53
3/15/2020,vietnam,57
3/16/2020,vietnam,61
3/17/2020,vietnam,66
3/18/2020,vietnam,76
3/19/2020,vietnam,85
3/20/2020,vietnam,91
3/21/2020,vietnam,94
3/22/2020,vietnam,113
3/23/2020,vietnam,123
3/24/2020,vietnam,134
3/25/2020,vietnam,141
